Agency Name,Project Name,Start Date,Completion Date (B1),Lifecycle Cost,Planned Cost ($ M),Projected/Actual Cost ($ M)
Nuclear Regulatory Commission,Planning: Acquisition module,01/10/2009,02/01/2012,7.3,7.3,7.3
Department of Labor,Benefit Management Applications (BMA),19/09/2011,31/05/2013,7.3,7.3,7.3
Department of Agriculture,AGxEDCx,20/07/2011,19/07/2012,7.276,7.276,7.276
Department of the Interior,Grand Coulee & Hungry Horse Supervisory Control and Data Acquisition Replacement,01/10/2008,30/09/2015,31.965872,7.226724,7.226724
Department of Transportation,TFM Remote Site Re-Engineering (TSR-R) Phase 1,01/06/2011,15/12/2012,10.324,7.2266,7.199054
Department of Homeland Security,Optical Card Consumables Contract,01/03/2007,29/02/2012,7.2,7.2,7.2
Department of Transportation,SWIM Terminal Data Distribution for the Terminal Data Distribution System (TDDS) SIP,06/02/2009,20/04/2015,27,7.2,7.2
Department of State,Technical Security and Safeguards,01/10/2011,30/09/2012,7.179,7.179,7.179
Department of State,DoSSS (Sharepoint),25/02/2008,30/09/2017,63.106,7.162065,7.19752
Department of State,EHR,02/10/2010,30/09/2014,14.803494,7.16,7.16
Department of Transportation,T20 Software Release,01/11/2010,30/09/2012,7.148947,7.148947,7.621442
Department of Transportation,Trajectory Management - Oceanic Tactical Trajectory Management,01/10/2010,30/09/2012,7.131407,7.131407,5.542387
Department of the Interior,Account Management,01/10/2011,30/09/2012,7.112,7.112,7.112
Department of Veterans Affairs,Emergency Department Integration Software (EDIS) - Version 2,03/01/2011,30/09/2014,19.42,7.102164,7.456649
Department of Defense,Program Management Support,01/10/2011,30/09/2012,7.086,7.086,7.086
Department of the Treasury,Parallel Agency Transaction Support (PATS) IV,03/10/2011,08/12/2012,7.13166,7.07166,7.00998
Department of Homeland Security,Data & Voice circuits,01/10/2011,30/09/2012,7.05,7.05,7.05
Department of Labor,DOL Acquisition Management System (AMS) Development and Implementation,14/06/2010,12/08/2013,11.424988,7.05,7.05
Department of Labor,Maintenance,30/09/2011,30/09/2012,7.0438,7.0438,6.9718
Department of Agriculture,NRM Data Center Operations,01/10/2011,30/09/2012,7.02,7.018,7.018
Department of Homeland Security,IT Data and Voice Systems (hardware Upgrades),01/10/2011,30/09/2012,7.018,7.018,7.018
Department of Commerce,Automating Field Activities,18/11/2011,30/09/2014,72.63,7.013496,7.013496
Department of Labor,Maintenance-OSHA Information System (OIS),14/03/2011,30/09/2016,45.080149,7.007338,7.007338
Department of Commerce,Unified Business Collaboration System,03/03/2010,27/08/2012,6.9643,6.9643,6.9593
Department of Transportation,Trajectory Management - Surface Traffic Data Sharing,01/10/2010,30/09/2012,7.619988,6.959988,6.560988
Department of Agriculture,"NRM Release 5.7 (February, 2012)",01/10/2011,29/02/2012,6.958,6.958,6.958
Department of Commerce,Weather Radio Improvement Project 2 (WRIP-2) Initial Operational Capability,21/09/2007,28/06/2013,32.369,6.95,6.95
Environmental Protection Agency,Phase II: ICIS-NPDES,01/10/2011,30/09/2012,6.913,6.913,6.928
Department of Homeland Security,Segment 1,01/07/2011,01/10/2017,15.45,6.882,6.443
Department of the Treasury,CA$HLINK II Decommissioning,01/10/2011,30/09/2013,6.866,6.866,6.427668
Department of Justice,Site 2 Delivery,01/07/2011,23/06/2012,6.85,6.85,6.85
Department of Health and Human Services,Implement Identity Management (IDM) Services to Enable use of PIV Credentials in support of M-11-11,03/08/2009,31/12/2013,6.845,6.844,7.918
Department of Health and Human Services,FDA ORA MARCS Field Work Manager (FWM) 3,23/09/2011,22/09/2012,6.837,6.837,6.827
U.S. Agency for International Development,GLAAS PRISM 7.1 Upgrade,01/02/2012,30/09/2013,6.836,6.836,1.198957
Department of the Treasury,STAR Transition,11/06/2012,10/08/2013,6.823,6.822,6.822
Department of Homeland Security,Functional Releases,22/03/2011,10/10/2012,6.768,6.768,6.837
Department of Defense,"MAF Modernizations: Special Mission ACC Platforms (E-3 v2.0, v3.0, v3.1/E-8 v2.0, v3.0, v3.1/RC-135 v3.0) - Software Development, Maintenance, and Fielding",01/01/2011,01/05/2014,20.881,6.739,6.739
Department of Health and Human Services,FDA ORA ALM Laboratory Information Management System (LIMS) Laboratory Assessment and Pilots,12/09/2011,11/09/2012,6.728,6.728,7.03
Department of Veterans Affairs,ICD-10 Changes for Class 1 Financial Products,03/01/2011,31/10/2013,18.328371,6.723726,6.723726
Department of Commerce,CLASS GOES-R,01/10/2011,29/09/2017,42,6.7,6.605
Department of Education,FY 11 Closeout,01/10/2010,30/11/2011,6.655,6.655,6.568
Department of State,Compensation Support,01/10/2006,30/09/2017,6.63,6.63,6.63
Department of Health and Human Services,NFPP Development,01/07/2011,31/12/2020,170,6.581,6.581
Department of Homeland Security,Telecommunications Systems & Support Maintenance Activities,01/07/2011,30/09/2012,6.57,6.57,6.764
Department of Health and Human Services,HITECH NLR Release 13.01,23/04/2012,15/01/2013,6.558,6.558,6.448
Department of Defense,Case Adjudication Tracking System Single Code Base,01/01/2010,31/12/2012,12.117,6.55,6.55
Department of Health and Human Services,HITECH NLR Release 11.04,04/03/2011,10/10/2011,6.54,6.54,5.285
Department of Veterans Affairs,Stakeholder Enterprise Portal (SEP),01/08/2011,31/01/2013,60.51,6.5296,6.5296
Social Security Administration,"FY12 Telecommunications Development, Modernization, and Enhancement",01/10/2011,30/09/2012,6.52776,6.52776,6.79969
National Archives and Records Administration,Sustaining Engineering: Technology Refresh,30/06/2012,30/09/2013,12.5,6.5,6.5
Department of Agriculture,Office Environment - Network Acceleration: Acquisition - Phase 1,01/08/2012,31/01/2013,6.489216,6.489216,6.489216
Department of Homeland Security,Maintenance Support,01/10/2011,30/09/2012,6.488,6.488,6.682
Department of Health and Human Services,Expansion of Budget Tools (Crawl/Walk/Run),30/09/2011,31/07/2014,6.475,6.475,6.475
Department of Education,New Award Year Setup Release 12.0,26/03/2012,22/03/2013,6.466,6.466,6.466
Department of Housing and Urban Development,MultiFamily Housing Development and Automated Underwriting Solution,10/02/2011,31/07/2013,7,6.45,6.45
Department of Transportation,Orlando RWSL,07/12/2007,15/06/2012,8.375249,6.42,7.801
Department of Labor,FCCS - Deployment #1,25/09/2011,16/12/2012,6.402,6.402,6.402
Department of Homeland Security,Core SP1,01/10/2006,05/01/2017,72.961,6.358,5.202
Department of Justice,Site 3 Delivery,31/10/2011,30/10/2012,6.35,6.35,6.35
Department of the Interior,Deployment 6 Phase 8 -- Go-Live Support thru ORR,08/11/2011,05/02/2012,6.328517,6.328517,6.303669
Department of Homeland Security,Construct and Deployment of IFT System to Casa Grande AOR,18/09/2012,21/07/2014,119,6.318,6.318
Department of Homeland Security,Database Architecture & Maintenance,01/10/2011,30/09/2016,76.55,6.303,6.303
Department of Homeland Security,Follow-on Assessment Tool Development and Deployment,01/10/2012,31/12/2013,12,6.3,6.3
National Aeronautics and Space Administration,SOC FY11 O&M,01/10/2010,30/09/2011,6.292,6.292,6.292
Department of Commerce,FSMS Phase 01 - Prepare &amp; Submit Frequency Proposals,01/06/2009,30/06/2012,6.28632,6.28632,6.28503
Department of Veterans Affairs,Nationwide Health Information Network Direct,19/10/2010,31/12/2012,7.684208,6.281751,6.598981
Department of Defense,PRESIDENTIAL AND NATIONAL VOICE CONFERENCING (PNVC)(LENP/0400),01/10/2008,30/09/2017,68.964,6.255,6.255
Department of Homeland Security,Windows 7,01/01/2009,30/04/2014,19,6.25,3.674
Department of Defense,Software Support,01/10/2011,30/09/2012,6.23,6.23,6.23
Department of Commerce,Special Projects,01/10/2011,30/09/2012,6.22,6.22,6.774
Social Security Administration,FY12 Auto Scheduling,03/10/2011,25/08/2012,6.21477,6.21476,6.37898
Department of Education,New Award Year Setup Release 11.0,01/04/2011,06/04/2012,6.214,6.214,6.215
Department of Transportation,TFM-M/ Work Package (WP) 1 program close-out and transition,01/04/2011,31/10/2011,6.21,6.21,6.112
Department of State,American Citizens Services,01/10/2011,30/09/2012,6.2,6.2,6.394591
Department of Defense,Randolph AFB network infrastructure upgrade.,30/12/2011,30/09/2013,6.183,6.183,6.183
Social Security Administration,FY 12 - Oracle,27/10/2011,30/09/2012,6.158,6.158,6.158
Social Security Administration,FY12 Unified Call Center Engineering (UCCE) Call Routing,01/10/2011,31/12/2011,6.15,6.15,6.15
Department of Justice,Integration and Engineering Services (IES),01/10/2011,30/09/2012,6.12,6.12,6.12
Social Security Administration,FY12 Medicare - Main,01/10/2011,30/09/2012,6.11745,6.11745,6.93153
Department of Veterans Affairs,EDI New Standards And Operating Rules VHA Payer Side Technical Compliance Requirements,26/07/2011,31/07/2014,122.23706,6.111853,6.111853
Department of Homeland Security,TSA Enterprise Integrated Test Environment,01/03/2011,31/12/2011,9,6.09,5.99
Department of Homeland Security,Case Management DME,01/10/2011,30/09/2013,6.072,6.072,5.391
Department of Health and Human Services,VTrckS - Release 2,13/06/2011,31/03/2012,6.05,6.05,5.914
Department of Justice,CODIS Software FY12 Service Packs,28/09/2011,27/09/2012,6.04,6.04,5.611248
Social Security Administration,FY12 eCAT,03/10/2011,30/09/2012,6.03273,6.03272,6.78073
Department of the Treasury,Storage Area Network (SAN) Switch Refresh,01/03/2011,31/07/2012,6.028282,6.028282,6.028282
National Science Foundation,Services for Institutions (R.Gov),01/04/2011,30/09/2012,6.004,6.003,5.802
Department of Health and Human Services,HIGLAS Project Management Support,01/04/2011,31/03/2012,6,6,6
Social Security Administration,FY12 Computer Telephony Interation (CTI) Desktop Project,01/10/2011,30/09/2012,6,6,6
Department of Commerce,Climate Data Modernization Program (CDMP),01/10/2010,30/09/2012,8,6,5.34
Department of Transportation,NHTSA ICAM,01/10/2011,30/09/2013,6,6,6
Environmental Protection Agency,CDX FY2012 Development,01/10/2011,30/09/2012,6.69,5.965,5.3296
Department of Defense,Creech AFB network infrastructure upgrade.,30/12/2011,30/11/2012,5.961,5.961,5.961
Department of Housing and Urban Development,HIAMS,08/09/2008,28/09/2012,6.5,5.958696,5.958696
Department of Defense,Phase 1 AEHF XDR,01/10/2010,30/09/2015,105.57,5.948,5.948
Department of Transportation,En Route ATC Separation Services,01/10/2011,30/09/2013,5.939655,5.939655,5.939655
Department of Defense,Global Command and Control System - Maritime (GCCS-M) Procurement and Fielding,01/10/2011,30/09/2012,5.938,5.937,5.937
General Services Administration,OEI Transformation,01/10/2011,30/09/2012,14.565,5.9299,5.9299
Department of Transportation,STARS Software Release 25A,15/02/2011,26/03/2012,5.921,5.921,5.921
Department of Justice,Asset Forfeiture Program (AFP) Phase 2,01/11/2010,30/11/2012,5.902,5.901918,5.885327
Department of Agriculture,Ongoing maintenance of 26 financial systems within AFAO.,01/07/2011,30/09/2012,5.9004,5.9002,5.6813
Department of Health and Human Services,CDRH FAERS,01/10/2010,30/05/2013,9.056,5.893,36.79
Social Security Administration,FY12 - Title II Systems - Maintenance,01/10/2011,30/09/2012,5.891714,5.8915,6.22975
Department of Transportation,T19 Software Release,01/07/2010,30/04/2012,7.416827,5.860488,5.973587
Department of Health and Human Services,NBIS-IDAP Finance Module,01/06/2011,21/06/2013,5.84,5.84,5.912
Department of State,Anti-Virus,01/10/2011,30/09/2012,5.833,5.833,5.833
Department of Transportation,Newark RWSL,28/02/2008,30/06/2014,6.424,5.816221,6.514221
Social Security Administration,Earnings Redesign Cyclical Reporting,03/10/2011,30/09/2012,5.794373,5.794372,5.76524
Department of Commerce,Address Updates,01/11/2011,30/09/2013,12.824599,5.766296,5.766137
Department of Transportation,JFK RWSL,28/02/2008,30/04/2014,6.061,5.75,5.75
Department of Defense,Increment IV; Representative Platform (E-8) - SW Development and Fielding,01/09/2008,01/04/2012,19.947,5.734,5.734
Department of Transportation,"Separation Management - Approaches, NextGen Navigation Initiatives",01/10/2010,30/09/2012,5.989489,5.716931,2.946747
Department of Defense,EI/DS enhancements,03/10/2011,29/06/2013,5.716,5.716,5.716
Department of Transportation,Proposal Evaluation,01/08/2011,31/08/2012,5.703087,5.703087,6.2409
Department of State,Administrative and Management Systems Support  (AMS),01/10/2011,30/09/2012,5.7,5.7,5.609035
Small Business Administration,PROJ: FY11-FY12 SBA.gov,16/06/2011,28/09/2012,5.696,5.6958,5.7382
Department of Labor,Database,01/02/2011,30/08/2015,5.68,5.68,5.68
Department of Agriculture,Network GSS,01/10/2006,30/09/2018,242.985,5.656,5.656
Department of Transportation,Charlotte RWSL,15/01/2008,16/10/2012,5.854571,5.651007,5.527039
Department of Commerce,Census Data Centers Network Upgrade,10/06/2011,30/03/2012,8.431158,5.620852,1.469844
Department of Veterans Affairs,Credentialing and Privileging Enhancements,26/07/2011,24/07/2013,82.314426,5.610721,5.610721
Social Security Administration,FY11 -NSC,01/06/2011,30/09/2011,5.610005,5.610005,5.623277
Department of State,DOS Segment 1 - Incremental Financial System Improvements,01/10/2010,31/01/2012,5.608,5.607088,5.758699
Department of Homeland Security,"PMIS, AIM, and PIMS Software Releases",02/04/2012,30/11/2013,5.6,5.6,5.6
Department of the Treasury,Video Conferencing,01/05/2011,01/01/2013,5.6,5.6,5.6
Department of Homeland Security,Status Determination Support,22/01/2010,30/09/2015,36.315,5.575,5.58
Department of Defense,iEHR Operational/Site Activation,20/07/2012,19/07/2013,5.542,5.542,5.542
Department of Transportation,"Spring 2013 Release, Develop thru Develop, Test and Evaluate (DT&E)",11/04/2011,03/03/2013,7.473,5.48,4.626
Department of Agriculture,STARS Operations and Maintenance,01/10/2011,30/09/2012,5.470009,5.470008,5.469906
Department of Defense,ICD-10,15/09/2011,14/09/2012,5.468,5.468,5.468
Department of State,Contingency INMARSAT Refresh,01/10/2011,30/09/2032,5.461,5.461,5.461
Department of Transportation,Enterprise Data Center - System Administrator Team Projects,03/10/2011,19/12/2013,5.458519,5.458519,5.257019
Department of the Treasury,PIV Data Synchronization Project,01/03/2011,30/09/2013,12,5.422745,5.422745
Department of Agriculture,Geospatial Information System,26/02/2010,12/03/2014,11.13,5.421781,5.337533
Department of Transportation,Design Phase,01/03/2012,26/03/2013,5.419167,5.419166,5.419166
Department of Homeland Security,Desktop Services,28/04/2010,30/09/2028,567.843,5.4,5.449
Department of Defense,BCCS Software Development and Technical Support,01/10/2011,30/09/2012,5.394,5.394,5.394
Department of Homeland Security,Security Equipment Modernization (SEM) FY2012,01/10/2011,28/09/2012,5.374,5.374,5.374
Department of Veterans Affairs,VA for Vets,20/05/2011,30/09/2013,25.825736,5.361704,5.361704
Department of Veterans Affairs,Pharmacy Re-Engineering - PRE (PPS-N),22/02/2011,30/05/2017,55.677,5.348,5.348
General Services Administration,FY11 Q4 DME SAM (System for Award Management),01/02/2011,30/09/2011,5.34416,5.34416,5.453821
Department of Homeland Security,Ammonium Nitrate DME,01/10/2011,14/02/2014,5.336,5.336,5.336
Department of Defense,Columbus AFB network infrastructure upgrade.,31/01/2012,30/09/2013,5.322,5.322,5.322
Social Security Administration,FY12 Office Automation Management Overhead,03/10/2011,30/09/2012,5.31502,5.31502,5.31502
Department of Agriculture,2013 support service maint_13A,01/10/2012,30/03/2013,5.303,5.303,5.303
Department of Agriculture,2013 support service maint_13B,01/04/2013,30/09/2013,5.303,5.303,5.303
Department of Veterans Affairs,VHA Point Service (Kiosks),01/10/2010,30/12/2014,24.959,5.27,5.784626
General Services Administration,REXUS,01/06/2009,01/07/2014,40,5.26133,5.26133
Department of Defense,Tech Insertion/Refresh Design,01/10/2009,31/10/2010,5.254,5.254,4.566
Department of Commerce,StEPS II Survey IT Development,01/07/2011,01/10/2012,5.248994,5.248994,5.865239
Department of Commerce,PE2E Office Action,03/10/2011,31/12/2012,5.21836,5.21836,5.21836
Department of Homeland Security,ADIS FY12 Maintenance Release Project,01/10/2011,30/09/2012,5.2,5.2,5.2
Department of Commerce,NWSTG Technology Re-alignment Project,17/12/2010,30/09/2013,5.195,5.195,5.154
Department of Health and Human Services,FDA ORA MARCS Program Management and Technical Integration (PMTI),08/09/2010,07/09/2011,5.192,5.192,5.314
Department of the Treasury,2012 Process and Technology Improvements,01/10/2011,30/09/2012,5.178,5.177,5.235866
Department of the Treasury,BMFA,01/10/2011,28/02/2013,5.171101,5.171101,5.033383
Department of Commerce,Census Migration,21/02/2011,08/08/2012,5.16559,5.165584,5.079489
Department of Defense,Vance AFB network infrastructure upgrade.,30/12/2011,30/09/2013,5.126,5.126,5.126
Department of the Treasury,TRS Data Warehouse/Data Marts,01/10/2009,30/09/2011,5.117,5.117,9.23
Department of the Treasury,Maintenance Projects,01/10/2011,30/09/2012,5.102,5.102,4.98369
Department of Agriculture,FMMI Deployment 3 Wave 2,01/06/2012,31/12/2012,7.32,5.09,5.09
Department of Agriculture,FMMI Deployment 3 Wave 2,01/06/2012,31/12/2012,7.32,5.09,5.09
Department of Transportation,MicroSoft Office Suite Upgrade,10/01/2011,28/09/2012,5.047549,5.047549,5.04755
Department of Veterans Affairs,Veteran Identity Eligibility Reporting System (VIERS),28/02/2011,28/06/2015,20.68,5.045811,5.045811
Department of Justice,TSDB 2.13,02/01/2013,30/06/2013,5.035,5.035,5.035
Department of Health and Human Services,HITECH NLR Release 12.01,27/05/2011,03/01/2012,5.034,5.034,5.367
Department of Health and Human Services,HITECH NLR Release 12.02,22/07/2011,02/04/2012,5.034,5.034,4.549
Department of Health and Human Services,HITECH NLR Release 12.03,21/10/2011,02/07/2012,5.034,5.034,5.311
Department of Health and Human Services,HITECH NLR Release 12.04,28/01/2012,01/10/2012,5.034,5.034,5.159
National Aeronautics and Space Administration,NEDC/IDAMS,01/03/2009,30/09/2011,5.007,5.007,5.036
Department of State,Role-Based Cyber Security Training,01/10/2011,30/09/2012,5.001,5.001,5.001
Department of Veterans Affairs,Civilian Health and Medical Program of the Department of Veterans Affairs (CHAMPVA),15/06/2010,01/07/2013,39.876,5,5
Department of Homeland Security,Consolidated Service Contracts Transition,01/07/2011,31/03/2014,5,5,5
Department of Homeland Security,NSC C4ISR C&A,01/10/2011,31/03/2016,82.5,5,5
Department of Homeland Security,Second Full Service Production Facility (SFSPF),15/02/2012,30/11/2014,5,5,5
Department of Transportation,Change Management & Implementation,01/10/2011,30/09/2013,9.5,5,4.07
Department of Transportation,Federal Data Center Consolidation Initiative,01/08/2011,28/09/2012,5,5,5
Department of Homeland Security,Cyber Security,01/10/2011,30/09/2016,33.53,5,5
Department of Transportation,Investment Analysis Planning,22/07/2011,31/03/2013,5,5,5
Department of Transportation,"FID, Segment 2",01/01/2012,31/07/2012,5,5,5
Department of Transportation,AIM Modernization Segment Two Acquisition and Solution Planning through Final Investment Decision (FID),16/11/2011,31/03/2014,8,5,5
Department of Education,COD Start Up Costs,15/06/2012,30/09/2012,5,5,5
Department of Homeland Security,Operations Task Order (OMTO),01/10/2011,30/09/2017,8.5,5,5
Department of Veterans Affairs,ICD-10 Class 3 Field Level Assessment,03/01/2011,16/12/2013,11.991541,4.996476,4.996476
Department of Commerce,FY11 Server Replacement,01/09/2010,31/01/2012,4.98266,4.98266,8.97929
Department of Defense,Hardware,10/10/2011,30/09/2012,4.964,4.964,4.964
Department of Veterans Affairs,VA DoD Image and Scanned Document Sharing Phase I,15/09/2008,13/09/2013,12.081107,4.958169,4.958169
Department of Labor,Case Management System (CMS),26/08/2010,01/07/2013,4.958,4.958,4.958
Department of Commerce,SAN Consolidation and Management,19/01/2010,27/07/2012,11.339878,4.9335,0.138
Department of Homeland Security,Secondary Inspection Maintenance,01/11/2010,30/09/2021,47.121,4.925,3.213
Department of Health and Human Services,FDA ORA MARCS Program Management and Technical Integration (PMTI) 2,08/09/2011,07/09/2012,4.917,4.917,6.103
Department of Defense,SMIS FY12 Technology Refresh and Deployment,03/10/2011,28/09/2012,8.574,4.9,4.9
Department of Commerce,Business Process Requirements,01/06/2010,30/09/2025,65.233,4.891678,4.918131
Department of Justice,TSDB 2.12,01/06/2012,31/12/2012,4.888,4.888,4.888
Department of Agriculture,EIMPMO,03/06/2011,02/06/2012,4.88587,4.88587,4.592241
Department of Education,CPSS II Requirement/Definition,01/10/2011,30/09/2012,4.885288,4.885288,4.885282
Department of Agriculture,NRM Customer Relations Operations,01/10/2011,30/09/2012,4.885,4.884,4.884
Department of Commerce,ECM Sharepoint,25/08/2011,31/03/2012,4.875,4.875,1.1655
Department of Health and Human Services,FDA ORA MARCS Software Acquisition for Oracle Technologies,04/08/2011,30/09/2011,4.856,4.856,4.856
Department of Veterans Affairs,Primary Care Management Module (PCMM) Rehost_Reengineering,17/08/2011,30/01/2014,11.947,4.846998,4.846998
Department of Justice,Data Center Relocation,10/05/2010,30/09/2012,4.845,4.845,4.845
Social Security Administration,FY12 National Vendor File,03/10/2011,30/09/2012,4.82371,4.82371,5.47589
Department of Health and Human Services,NwHIN Exchange Implementation,31/08/2004,30/09/2014,95.907,4.82,4.827
Department of Commerce,UMS,01/07/2011,30/06/2012,4.8105,4.8105,4.8105
Department of the Treasury,Network Convergence,01/10/2010,30/09/2015,100,4.75,4.75
Department of Labor,FY12 Application Improvement Releases,01/07/2011,10/08/2012,4.743254,4.743254,3.485574
Department of the Treasury,TRS FY2013 Implementations,01/09/2011,30/09/2013,4.737,4.737,4.737
Department of Transportation,Minneapolis RWSL,28/02/2008,16/10/2012,6.593198,4.718453,5.418255
Department of Energy,Maintenance and Production Support-FY12 Facilities Support,01/10/2011,30/09/2012,4.70953,4.70953,4.383306
Department of Agriculture,FY12 Enterprise Architecture,22/09/2011,21/09/2012,4.707543,4.70754,4.622721
Department of Homeland Security,SEVIS II,01/05/2008,30/09/2020,155.705,4.7,6.209
Department of Homeland Security,FEMA.gov migration to Drupal Content Management System,01/10/2011,31/12/2012,4.7,4.7,4.7
Department of Homeland Security,Vehicle Maintenance,16/04/2012,12/01/2015,98.748,4.7,4.7
Department of Transportation,C - Power Supply Refurbishment (PSR),29/09/2010,31/12/2014,6.54,4.685,4.683
Department of the Interior,"FY 2012 O&M - Web Apps, Database Administration, and Security",03/10/2011,28/09/2012,4.654,4.654,4.654
Department of the Interior,"FY 2011 O&M - Web Apps, Database Administration, and Security",01/10/2010,30/09/2011,4.654,4.654,4.6
Department of State,Electronic Key Management System,01/10/2011,30/09/2012,4.636,4.636,4.636
Environmental Protection Agency,SEMS (DME),01/10/2011,30/09/2013,5.287114,4.630506,4.944503
U.S. Army Corps of Engineers,PC Backup and Imaging.,01/03/2011,30/09/2012,4.61155,4.61155,4.61155
Department of Agriculture,AgPRS Operations and Maintenance Project,03/10/2011,28/09/2012,21.611,4.6095,4.47375
Department of Transportation,Separation Management - Closely Spaced Parallel Runway Operations (CSPO),01/10/2010,30/09/2012,4.600947,4.600947,8.285598
Department of Veterans Affairs,SPS Scope Action Plan (ISO-9001)- PRISM  iQMS,06/06/2011,11/07/2016,20.914,4.59,4.59
Department of Homeland Security,IT Physical Plant/HVAC/Electrical,01/10/2011,30/09/2012,21.15,4.578,4.578
Department of Transportation,TFMS Tech Refresh Phase 1,15/09/2011,31/12/2012,4.568,4.568,4.552
Department of Homeland Security,Infrastructure Information Collection System (IICS): Maintenance,01/04/2010,30/09/2019,16.612,4.562,3.576
Department of Health and Human Services,EHB - UI Upgrade Phase II,27/05/2011,16/09/2012,4.56,4.56,4.814
Department of Defense,Increment 2 Hardware and Software to support Alternate Site requirement,01/12/2010,31/08/2013,6.223,4.536,4.536
Department of Transportation,Aircraft Certification Audit Info System (ACAIS) (formerly known as DDS (Delegation Option Authorization/Designated Alteration Station/Special Federal Aviation Regulation - 36) Technical Evaluations),15/02/2011,29/05/2013,6.194,4.535,3.182
Department of Education,Integrated Partner Management (IPM) - FY 2012,15/03/2012,28/09/2012,4.528542,4.528,4.528
Department of Transportation,LaGuardia RWSL,24/07/2008,17/04/2014,5.685,4.508,1.515
Department of Commerce,AIX Server Replacement,21/07/2010,30/12/2011,4.50689,4.50689,4.50689
Department of Commerce,"DOCHROC, USPTO, ITA/FS/CS Migration",28/06/2011,06/06/2013,4.50311,4.503101,4.428159
Department of Defense,Situation Awareness DataLink (SADL),03/01/2007,30/09/2012,41.615,4.5,4.5
Department of Homeland Security,Video Services,28/04/2010,30/09/2028,176.591,4.5,4.726
Department of Homeland Security,Cross Domain / Multi-Level Security,01/10/2011,30/09/2017,65.82,4.5,4.5
Department of Transportation,Air Traffic Office Network Access,01/10/2011,30/09/2012,4.5,4.5,4.5
Department of Veterans Affairs,"ICD-10 Changes for Lexicon, Encounter Forms, and Clinical Reminders",03/01/2011,31/10/2013,23.707349,4.482484,4.482484
Department of Transportation,Separation Management - Wake Turbulence Mitigation for Arrivals (WTMA),01/10/2010,30/09/2012,4.4795,4.4795,4.07
Department of Veterans Affairs,ePharmacy Phase 5,01/04/2010,18/11/2011,11.42826,4.466133,4.466133
Department of Commerce,FPNG UI&I Stakeholder and Stored Payment Account Management Services,01/05/2012,28/02/2013,4.45,4.45,4.45
Department of Justice,Desktop Upgrade,01/06/2012,30/06/2013,4.43,4.43,4.43
Department of the Treasury,FY12-DSS-Check 21,01/10/2011,30/09/2012,4.428,4.424,4.328
Department of Agriculture,FY11-Q1 O&amp;M,01/10/2010,31/12/2010,4.407,4.407,4.31
Department of Agriculture,FY11-Q2 O&amp;M,01/01/2011,31/03/2011,4.407,4.407,4.308
Department of Agriculture,FY11-Q3 O&amp;M,01/04/2011,30/06/2011,4.407,4.407,4.341
Department of Agriculture,FY11-Q4 O&amp;M,01/07/2011,30/09/2011,4.407,4.407,4.407
Department of Transportation,T21 Software Release,01/08/2011,31/03/2013,6.853979,4.40426,4.40426
Department of Homeland Security,Maint. Task Order (OMTO),01/10/2011,30/09/2017,18.442,4.4,4.4
Department of Transportation,Release 2 (Communications Architecture Upgrade and GEO Integration),01/03/2009,30/09/2011,7,4.38,4.5
Department of Health and Human Services,FDA ORA MARCS Imports 2,23/09/2011,22/09/2012,4.376,4.376,5.005
Department of Labor,Email as a Service (EaaS),01/05/2011,30/09/2012,6,4.35,4.35
Department of Commerce,PATI continuous capture of application data,28/02/2012,28/06/2013,4.33647,4.33647,4.33647
Department of Transportation,Antenna/Radome Project,13/09/2010,30/10/2012,4.60456,4.331174,4.225442
Department of Commerce,IPV6 FY12 Project,28/02/2010,05/09/2012,4.31893,4.31893,4.31893
Department of Transportation,"Fall 2014 Release, Develop thru Develop, Test and Evaluate (DT&E)",30/04/2010,30/06/2014,28.759,4.314,4.383
Department of Defense,Fielding Support,01/10/2011,30/09/2012,4.306,4.306,4.306
Department of Homeland Security,HSDN,01/10/2009,30/09/2017,27.3,4.29,4.39
Office of Personnel Management,Operations and Maintenance,03/10/2011,28/09/2012,4.29,4.287624,4.287624
Department of Agriculture,FY12 FTE Resources,01/10/2011,30/09/2012,4.282884,4.282884,4.282884
Department of Commerce,CBS Next Gen,01/07/2011,31/12/2012,6.12603,4.276034,4.276034
Department of Agriculture,Hardware Maintenance,01/11/2011,31/05/2012,4.268,4.268,4.268
Department of Commerce,NOAAnet,01/10/2011,30/09/2012,4.25,4.25,4.25
Department of Health and Human Services,eNSAR,01/02/2013,04/11/2013,4.237,4.237,4.237
Department of Transportation,Solution Development,01/09/2011,30/07/2013,4.547075,4.21708,3.991269
Department of Transportation,Traffic Situational Awareness with Alerts (TSAA),01/10/2010,30/09/2013,6.775212,4.205439,4.045277
Nuclear Regulatory Commission,FAIMIS re-host,28/04/2011,01/04/2013,4.2,4.2,4.2
Department of Agriculture,"NRM Release 5.8 (May, 2012)",01/03/2012,31/05/2012,4.175,4.175,4.175
Department of Agriculture,"NRM Release 5.9 (August, 2012)",01/06/2012,31/08/2012,4.175,4.175,4.175
Department of Transportation,Re-architecture - Deploy to 50% of Sites,15/08/2010,14/01/2013,4.668,4.157,4.302
Department of Veterans Affairs,Document and Ancillary Imaging,15/09/2008,13/09/2013,8.158082,4.148072,4.148072
Department of Justice,TSDB 2.10,03/06/2011,03/12/2011,4.128,4.127,4.127
